ID	ZT00	ZT00	ZT00	ZT00	ZT00	ZT04	ZT04	ZT04	ZT04	ZT04	ZT08	ZT08	ZT08	ZT08	ZT08	ZT12	ZT12	ZT12	ZT12	ZT12	ZT16	ZT16	ZT16	ZT16	ZT16	ZT20	ZT20	ZT20	ZT20	ZT20
OT_ostta09g03500	100827.7252	88733.03295	74381.4121	73805.16184	99047.27654	88515.69033	94612.83483	96102.43642	83617.92922	32724.0786	121770.9592	97496.00556	95949.18589	100975.9873	96192.61616	115478.2015	112142.0197	103301.6269	86700.48212	78431.73466	97585.3011	93218.19501	82526.76426	105288.2088	72106.01545	107951.3518	117387.2086	86186.68688	104524.2341	25500.90335
OT_ostta03g03930	386860.7786	394684.6998	315348.9038	308696.9425	387030.395	294773.3626	421459.0964	405219.1855	297836.4019	72979.0909	433732.768	331993.735	331454.2325	311582.1477	337754.8315	396360.2081	463114.9923	414393.6283	331538.6063	282278.5419	376922.9795	389117.8011	339855.6833	400294.3226	309597.2968	423391.1307	504512.409	351801.4534	398468.6961	75464.14681
OT_ostta14g00870	54095.4136	42085.44553	43545.23912	42011.12087	38703.3019	43768.57997	45070.53729	58859.20503	55022.77618	8396.042563	46535.01991	57505.13217	41201.41305	47423.59578	47019.07327	65249.69078	52204.05169	55813.20717	54213.31901	42090.62644	50835.0508	51535.78141	39870.62	40719.82712	50093.36601	56449.48923	56596.45362	48819.28616	68619.26074	5183.724372
OT_ostta08g03230	232568.2671	296723.2692	202389.7967	210001.7709	224106.3738	269096.6906	301825.779	266898.4558	260593.8475	29635.09714	250404.2441	224521.6904	204871.4091	215590.6213	207720.9622	227196.963	248830.191	215124.0812	230454.8223	194207.5424	234950.9663	203245.0952	193192.2084	228223.0143	206675.6916	243408.4587	232619.2497	224947.2907	266581.6902	29370.15388
OT_ostta05g04370	80749.41193	168832.7341	99953.39849	89801.23893	88833.76294	103758.8893	125547.5646	75159.30926	86797.29923	34304.95158	129340.0618	98477.88252	68876.21378	84723.35991	62368.87352	107171.3658	71811.09498	60926.47187	74124.63046	62190.94401	130392.8444	143689.8054	76833.11098	52339.42859	64221.91613	74783.55107	146605.4681	122988.3042	153247.9017	38867.42736
OT_ostta12g00330	64942.90353	205301.7895	82028.39481	69622.89835	64917.17217	126511.1229	151069.9695	73209.11623	65413.86775	16320.12076	155752.6988	49674.78538	55279.83775	43340.06303	55493.03472	84870.04003	68304.10573	40340.12593	91180.51517	54424.85945	171813.4918	187489.1535	52856.36531	59010.39484	52368.16335	67532.16936	201089.0896	75270.27819	106068.471	4440.52133
OT_ostta08g01410	494284.189	458503.1263	359378.4806	421580.1814	454132.1453	421919.1706	505460.3273	299603.3968	395060.7764	231290.8549	445982.579	500327.7242	412712.8159	415555.6641	426467.2511	452836.4853	521022.4315	300983.4925	463393.876	334232.703	506966.2301	410585.0159	376798.6843	397795.0445	408207.8606	483906.7214	603921.5547	517037.0017	555955.0332	346794.3981
OT_ostta18g01350	4215982.058	4325017.586	3796618.371	4047365.518	4293362.009	4016025.177	4513594.957	3849285.514	4140148.701	3073878.636	5015628.776	4436392.076	4132298.432	4074410.588	4222472.149	4625418.984	5213220.652	4088031.274	4260877.434	3763516.009	5104791.747	4246774.593	4083082.156	4956020.201	4252064.64	4981745.85	5900258.203	4306193.846	5395779.067	3397197.971
OT_ostta10g00300	619051.8471	603201.9955	669148.7256	540610.304	653629.0557	468952.8867	618158.4181	544137.1883	627527.7112	535321.5526	598469.6423	590689.3311	524590.6357	537256.4906	455696.4348	491740.3736	618361.4914	622210.3635	546734.6443	473330.8318	503816.5231	564881.2667	456109.1005	492520.3227	438553.5409	530520.434	660105.4612	482944.5222	520112.8997	399848.4698
OT_ostta10g00810	199285.8052	230302.37	181191.9769	174661.0699	200852.0435	194327.4929	238877.0559	228034.7445	182149.9341	167881.058	230550.5017	203665.6292	209664.7723	217768.7461	182900.9016	221159.2891	211976.0857	219228.126	215374.6977	175766.5969	206211.115	237475.1381	212721.4589	195176.1407	149266.4275	177187.3765	191275.8547	203348.7881	217715.1415	131699.049
OT_ostta06g00580	446376.9758	824423.1839	506342.3912	386587.8303	480384.553	477267.1984	495728.7155	604875.4863	556320.7408	378377.0211	526604.3423	454289.6465	387789.761	395902.9539	363000.9088	391910.8065	426767.1397	498032.4427	479453.8353	368456.5044	453716.9156	370314.9569	397855.4581	452908.834	349965.3507	451002.4197	413509.0057	391879.1631	464597.9687	211937.4092
OT_ostta11g00330	448464.1687	644829.4455	467666.6722	459563.1233	514162.4722	493370.2845	541689.5576	584506.6914	571037.7092	414415.921	617508.4365	539348.5408	516389.5592	492464.7481	386500.0937	504890.9629	473289.0709	615839.6238	506712.0806	401321.6215	494893.1577	530787.4955	481608.0703	481733.4024	388680.926	528054.6832	592770.6766	519032.7208	505812.4482	297118.9739
OT_ostta08g00260	40753.49617	66204.13155	78861.18207	50887.40833	50931.43521	46114.40779	59953.31644	78007.49554	55721.04779	31507.42679	40861.00973	73109.09833	41748.31969	53418.79347	49949.74882	47178.7237	49352.42273	53223.48797	45100.21652	61864.93225	47459.24814	45681.98169	52982.34634	50010.85346	50385.49661	39922.7035	39275.47729	47253.59297	43915.7384	23390.33347
OT_ostta04g01660	164670.7324	186840.3314	193343.3336	162947.5811	202198.7737	154355.9417	175641.0252	188712.853	168528.8876	132881.8854	185405.5815	164362.0193	164047.5893	167621.8629	151467.2643	189585.4686	152452.5603	185594.8956	182625.0481	174851.306	175424.2068	172963.5124	181952.7831	187156.3324	147910.4341	165129.7344	163226.7555	182699.7436	187571.2102	153303.5511
