MGI.ID	pval.protein	pval.mRNA
MGI:87986	0.142266429	0.02717933
MGI:1914855	0.180751053	0.195749179
MGI:104874	0.090097892	0.004105767
MGI:96853	0.386492072	0.003695837
MGI:87989	0.000149785	3.27e-05
MGI:87990	0.897989915	0.031942042
MGI:87991	0.000730169	0.637790769
MGI:1313266	0.963302727	1.08e-05
MGI:1353450	0.891587896	0.105827746
MGI:1347050	0.539464864	0.723558913
MGI:1919785	0.504380223	0.975470653
MGI:1340024	0.839598921	0.000212639
MGI:99600	0.43575597	3.9e-06
MGI:1353452	0.05312888	0.032286556
MGI:2443883	0.369970007	0.716042978
MGI:2441982	0.707653063	3.24e-05
MGI:1915077	0.26867666	0.013275742
MGI:108186	0.655096499	0.00906846
MGI:2653900	0.519175725	1.02e-07
MGI:1861622	0.37216945	5.89e-05
MGI:87995	0.730049743	0.016841782
MGI:101863	0.367832871	0.306554675
MGI:1913498	0.195369132	0.097798662
MGI:1916363	0.059080181	0.01631929
MGI:1921268	0.87498703	0.000105627
MGI:2447532	0.198665542	0.006124087
MGI:1098273	0.08443444	4.82e-07
MGI:88002	0.772030826	0.396067141
MGI:1919011	0.338272376	1.53e-07
MGI:2443978	0.443909	1.02e-06
MGI:2442711	0.691126976	0.000124057
MGI:88016	0.602628137	0.025257154
MGI:1196310	0.149569559	3.76e-07
MGI:1353627	0.827454585	0.409808298
MGI:88024	0.341662782	0.261629559
MGI:88025	0.647062989	0.09211506
MGI:88026	0.038716719	0.00019887
MGI:1337008	0.597615885	0.066987368
MGI:1921733	0.976283783	2.96e-05
MGI:1261856	0.04453656	0.000108907
MGI:2145661	0.156450998	0.001225269
MGI:1918702	0.453521568	0.163326762
MGI:3045243	0.24773317	0.035456673
MGI:1919324	0.13293915	3.77e-05
MGI:1098746	0.083262866	0.006931543
MGI:108447	0.790406755	9.9e-06
MGI:1914878	0.598540814	0.394357138
MGI:1913721	0.676061411	0.006916831
MGI:5000466	0.151669247	0.853395249
MGI:96819	0.114631261	0.086471082
MGI:108481	0.35759385	0.014551788
MGI:88246	0.012289012	0.015761963
MGI:1201378	0.433661124	0.088565323
MGI:88030	0.337014337	0.024326116
MGI:106008	0.165358009	0.884036165
MGI:88255	0.630329684	0.284288717
MGI:88031	0.367317177	9.84e-08
MGI:88035	0.866280878	0.620031576
MGI:1918974	0.334794348	2.61e-05
MGI:1096368	0.192663773	0.528106064
MGI:101919	0.720016596	0.000126632
MGI:1328307	0.657869749	0.14097521
MGI:102776	0.05119006	0.050589133
MGI:1098244	0.95443487	0.012597105
MGI:101921	0.865035227	0.239796775
MGI:101920	0.360677113	0.000111016
MGI:1919020	0.046944289	0.090574816
MGI:1298405	0.493504396	0.801863105
MGI:2141861	0.334047655	0.00511271
MGI:1333879	0.971523963	0.000304967
MGI:107734	0.473706324	0.002279528
MGI:1929212	0.068531166	2.36e-07
MGI:88039	0.433990362	0.004617222
MGI:98229	0.402361614	0.038460719
