ID	CT03	CT07	CT11	CT15	CT19	CT23	CT27	CT31	CT35	CT39	CT43	CT47
Capn2	0.498593719396382	0.538153331939017	0.515782361855214	0.518444294411218	0.550864187467087	0.542436650293824	0.528614902950699	0.544737067699732	0.520247647700936	0.519933253909036	0.537351040566659	0.531782574382099
Capns1	0.498593719396382	0.535461250437341	0.523487384580681	0.489222684717186	0.544007596566642	0.517890738790395	0.507024232462958	0.53152983185981	0.512181750359334	0.525526961036735	0.53924214072113	0.524222748675851
Ca2 Car2	0.498593719396382	0.55619107232193	0.503294666886354	0.540974965612351	0.473722119953421	0.440449989844107	0.49026120074511	0.510487846882965	0.569320838466761	0.564340773877115	0.461535938434421	0.501953903053178
Ca3 Car3	0.498593719396382	0.339349394616606	0.466351777463419	0.398530578790168	0.462752505032658	0.378590858110827	0.339737518483987	0.419738750063173	0.487250823836897	0.466866244296593	0.402362067368306	0.392466567585782
Cat Cas-1 Cas1	0.498593719396382	0.544511981070954	0.470507410229711	0.503108564881926	0.509711945973101	0.497739410411657	0.496385173688751	0.508403228694346	0.524757822964185	0.486318781149864	0.455487992205658	0.485823180614889
Ctnna1 Catna1	0.498593719396382	0.534069588312898	0.521683019690765	0.538018492590564	0.56894003796596	0.541441591376023	0.522203256459151	0.547855826395861	0.552068936867356	0.541989230951717	0.541883642792026	0.541462486169655
Ctnnb1	0.498593719396382	0.59390742718609	0.505326886550909	0.500689529885913	0.513186907573841	0.557849074043548	0.563927059511444	0.548236774330338	0.580610284768354	0.487122493412204	0.538332403541313	0.532447138873615
Serpinh1	0.498593719396382	0.474134025154004	0.525875292952151	0.445100235538311	0.502689546378794	0.497233208716966	0.52448874583308	0.517210461608661	0.480616812117187	0.510695462621163	0.512521812585845	0.494971521194507
Cbr1 Cbr	0.498593719396382	0.534173213089559	0.541109393850851	0.505414963859042	0.494259481156486	0.522434263600746	0.542264511218218	0.552723818805274	0.530533956182611	0.498527663649126	0.530421977410133	0.523283522527034
Cacna2d1	0.498593719396382	0.510486906765761	0.545589517216521	0.547098865997443	0.562021320318163	0.50957149496139	0.549495137465574	0.563894375401521	0.553596542934531	0.567645175233246	0.578999889645397	0.562488639648897
Cd34	0.498593719396382	0.520729328163792	0.508390651410418	0.526352714799074	0.528112508056395	0.511605541082638	0.522656910789609	0.532084824752134	0.515953242366805	0.531562743242632	0.533472424838878	0.53990553244477
Cd9	0.498593719396382	0.547752312732234	0.507442697386559	0.528660785849471	0.548160225061534	0.524260801373757	0.525866382646551	0.563969590900243	0.506517289463141	0.555245032702013	0.545710664013959	0.553750206634564
F2	0.498593719396382	0.555864610645173	0.511873276997516	0.570766328940624	0.523737070874024	0.564015500108729	0.577735303270174	0.537140340304162	0.570633958651198	0.521024641539451	0.566849127950082	0.592290911910889
Cfh	0.498593719396382	0.553031810236026	0.49806547132033	0.506706618461446	0.47422864555543	0.483185628310369	0.548010770915611	0.516624643081531	0.511146534049306	0.474875091010789	0.525121313328409	0.526777996751379
Ckb Ckbb	0.498593719396382	0.507634206285251	0.548238476270935	0.497231021618639	0.537748681765948	0.515646027072592	0.53350558657765	0.541108114272159	0.518298565819964	0.545565657119649	0.535500667186321	0.522790409914653
Ckm	0.498593719396382	0.28899208524377	0.389240549401294	0.378060927454156	0.373603766924856	0.31033329224338	0.319445078785924	0.365384811833974	0.425249895821665	0.395200963545226	0.360346262737554	0.316502738796011
Clu	0.498593719396382	0.541201605507027	0.482273403952571	0.544060080638641	0.504854932408437	0.500348240865607	0.538806964000089	0.542304426610725	0.523060353115185	0.483104975636392	0.5431908435392	0.53385731633461
Cntf	0.498593719396382	0.592525921107346	0.308061371483516	0.511076780711794	0.460969361573945	0.451464421541114	0.503711232546508	0.474210429967591	0.550447229229609	0.413514112847483	0.241505588768803	0.404169437687912
Col12a1	0.498593719396382	0.520866232080116	0.501752598088541	0.51288993163942	0.501117979924813	0.504163076388118	0.526318701138552	0.509807988505533	0.49842542418642	0.518823918834746	0.53614294321402	0.534691129639088
Col15a1	0.498593719396382	0.49764938353723	0.519149242409571	0.497063342370358	0.527317646778699	0.526407775402797	0.545153663971817	0.541486448361451	0.528445856176477	0.52216740988861	0.531461113867425	0.53231464936313
Col2a1	0.498593719396382	0.503577261170386	0.569427573250085	0.535450388083398	0.560983023124174	0.629313596625544	0.543793924795783	0.541857940684291	0.515843951156349	0.554926674913326	0.560181132271695	0.561113733750561
Col4a1	0.498593719396382	0.545970969999645	0.478899420354799	0.525087867726033	0.517535282155007	0.530640085263387	0.478466994984425	0.482931410789442	0.502070807285263	0.515410590715603	0.483259780747755	0.517983823548467
Col5a2	0.498593719396382	0.540567845883844	0.520816862647937	0.527470859821474	0.512033598047804	0.5181330663066	0.533175707616637	0.522891424817407	0.54357097339052	0.525643172280903	0.517468339985528	0.510678843652334
Col6a1	0.498593719396382	0.528874642284732	0.536636562412482	0.593615808504965	0.554349904280014	0.539706746428334	0.551073811099718	0.549325001154833	0.548781229851592	0.624413196771871	0.605375011177895	0.62295824481219
Col6a2	0.498593719396382	0.546576587496032	0.525386354566058	0.508048167035596	0.513647105411267	0.508819984975818	0.529390959981408	0.523923961921642	0.520106737262063	0.541767002401687	0.555138287825025	0.559053607919279
Col6a3	0.498593719396382	0.510645127754886	0.515943168807847	0.5262006809775	0.515599336349796	0.519886381252091	0.51706836599167	0.524246793933534	0.536741837834073	0.547874851958833	0.540761485538365	0.54229139900048
