ID	LD6.5	LD9.5	LD11.5	LD12.5	LD14.5	LD17.5	LD21.5	LD23.5	LD24.5	LD26.5	LD30.5	LD33.5	LD35.5	LD36.5	LD38.5	LD41.5	LD45.5	LD47.5	LD48.5	LD50.5
Q8GJM6	1.155047914	1.020704431	1.167347076	1.068562675	0.849571627	1.091440336	1.093200949	1.022586371	1.062918583	1.27790921	0.973195294	1.04930079	0.937562007	0.989919775	0.969839794	0.941239187	1.483542526	1.268235776	1.154781985	1.242224241
Q8GJM5	0.92939429	0.958958913	0.859211339	0.828514283	1.135795124	1.027542988	1.105605015	1.071519305	0.992887401	1.069547311	0.91159094	0.974989638	0.836565596	0.916431482	0.911800865	1.211155763	1.213947765	1.156644774	1.088178147	1.117892391
Q8GJL3	0.594839774	1.171655674	0.936698878	1.062918583	1.032285911	0.947109079	0.978813611	0.95873813	0.956533093	0.916009547	1.022115561	1.01601472	0.736207097	0.663284731	1.249683397	1.461503972	1.224616199	1.578701421	1.363013006	1.170577036
Q31SD5	0.57956213	1.305569513	1.549173288	1.201157618	2.140917835	1.151330474	1.031573079	1.117377701	0.994260074	1.252275835	0.987415636	0.943843523	0.829468695	0.825847769	0.877404788	0.981747943	0.922783882	0.923846888	1.113268703	1.233956926
Q31SD1	0.898462593	0.997011115	0.898669495	1.00461579	1.376892391	1.026597022	1.048576209	1.130316325	1.032761406	0.854082847	0.816018491	1.028253035	0.913902783	1	1.11866487	1.226026903	1.083427862	1.008323758	1.064633187	0.988553095
Q31SD0	1.021409752	0.979489985	1.026597022	1.123828393	1.171655674	1.035142167	0.918544075	1.014378417	0.957855506	0.99655208	0.873172401	1.001843766	0.801678063	1.007627473	0.966718434	1.129275744	1.062184599	1.066841742	1.159044205	1.238226231
Q31SC6	1.033237119	0.97364357	1.011113712	0.921934357	1.232253329	0.918755602	0.912641052	0.843140595	0.929180314	1.526511217	1.25025903	0.90302547	0.999539589	0.792683832	0.761026886	0.721107479	0.793962517	0.656145266	0.800755629	1.633804169
Q31SC4	1.2846949	0.990147739	0.754918381	0.730634205	0.833489245	0.778394933	0.847032355	0.824517732	1.371513226	1.606571284	1.005309994	0.863177279	0.623591232	0.665119989	0.676394395	0.765244118	0.956753369	1.036811964	1.464873087	1.756305252
Q31SC2	0.93454453	1.054144143	0.939506956	0.964050979	1.10407862	1.083427862	1.049542429	1.064143018	0.991288345	1.014144874	0.955212507	0.964495043	0.836565596	0.910542036	0.931322296	1.328923557	1.286767253	1.154516117	1.123569651	1.095468767
Q31SB6	0.780548691	1.023528641	1.083427862	1.068316657	0.763132589	0.965828463	0.889610704	0.896189807	0.899704722	1.133182868	1.035857465	0.839266716	0.855657576	0.796709508	0.880035112	1.028963572	0.957194071	1.047369686	0.991288345	1.180864319
Q31SB1	0.876193445	0.962055219	1.036096007	0.962720013	1.087677138	1.074236736	1.093200949	1.105859619	1.034427363	0.997700064	0.964717152	1.117120445	0.961390884	1.155313904	1.081932085	1.107898565	0.956312869	0.997470361	0.962055219	1.08742672
