Uniprot.Accession	Gene.name	Gene.Name..Synpcc7942.only.
Q31PD3	Synpcc7942_1056	Synpcc7942_1056
Q31PD2	Synpcc7942_1057	Synpcc7942_1057
Q31PD1	Synpcc7942_1058	Synpcc7942_1058
Q31PD0	Synpcc7942_1059	Synpcc7942_1059
Q31PC9	Synpcc7942_1060	Synpcc7942_1060
Q31PC8	Synpcc7942_1061	Synpcc7942_1061
Q31PC7	Synpcc7942_1062	Synpcc7942_1062
Q31PC6	Synpcc7942_1063	Synpcc7942_1063
Q31PC5	Synpcc7942_1064	Synpcc7942_1064
Q31PC4	Synpcc7942_1065	Synpcc7942_1065
Q31PC2	Synpcc7942_1067	Synpcc7942_1067
Q31PC1	Synpcc7942_1068	Synpcc7942_1068
Q31PB9	Synpcc7942_1070	Synpcc7942_1070
Q31PB8	Synpcc7942_1071	Synpcc7942_1071
Q31PB2	Synpcc7942_1077	Synpcc7942_1077
Q31PB1	Synpcc7942_1078	Synpcc7942_1078
Q31PB0	Synpcc7942_1079	Synpcc7942_1079
Q31PA8	Synpcc7942_1081	Synpcc7942_1081
Q31P99	Synpcc7942_1090	Synpcc7942_1090
Q31P98	Synpcc7942_1091	Synpcc7942_1091
Q31P97	Synpcc7942_1092	Synpcc7942_1092
Q31P95	Synpcc7942_1094	Synpcc7942_1094
Q31P88	Synpcc7942_1101	Synpcc7942_1101
Q31P86	Synpcc7942_1103	Synpcc7942_1103
Q31P84	Synpcc7942_1105	Synpcc7942_1105
Q31P83	Synpcc7942_1106	Synpcc7942_1106
Q31P82	Synpcc7942_1107	Synpcc7942_1107
Q31P79	Synpcc7942_1110	Synpcc7942_1110
Q31P75	Synpcc7942_1114	Synpcc7942_1114
Q31P74	Synpcc7942_1115	Synpcc7942_1115
Q31P68	Synpcc7942_1121	Synpcc7942_1121
Q31P65	Synpcc7942_1124	Synpcc7942_1124
Q31P64	Synpcc7942_1125	Synpcc7942_1125
Q31P62	Synpcc7942_1127	Synpcc7942_1127
Q31P59	Synpcc7942_1130	Synpcc7942_1130
Q31P58	Synpcc7942_1131	Synpcc7942_1131
Q31P53	Synpcc7942_1136	Synpcc7942_1136
Q31P50	Synpcc7942_1139	Synpcc7942_1139
Q31P48	Synpcc7942_1141	Synpcc7942_1141
Q31P47	Synpcc7942_1142	Synpcc7942_1142
Q31P46	Synpcc7942_1143	Synpcc7942_1143
Q31P45	Synpcc7942_1144	Synpcc7942_1144
Q31P44	Synpcc7942_1145	Synpcc7942_1145
Q31P41	Synpcc7942_1148	Synpcc7942_1148
Q31P40	Synpcc7942_1149	Synpcc7942_1149
Q31P39	Synpcc7942_1150	Synpcc7942_1150
Q31P37	Synpcc7942_1152	Synpcc7942_1152
Q31P35	Synpcc7942_1154	Synpcc7942_1154
Q31P33	Synpcc7942_1156	Synpcc7942_1156
Q31P32	Synpcc7942_1157	Synpcc7942_1157
Q31P31	Synpcc7942_1158	Synpcc7942_1158
Q31P30	Synpcc7942_1159	Synpcc7942_1159
Q31P20	Synpcc7942_1169	Synpcc7942_1169
Q31P18	Synpcc7942_1171	Synpcc7942_1171
Q31P11	Synpcc7942_1178	Synpcc7942_1178
Q31P03	Synpcc7942_1186	Synpcc7942_1186
Q31NZ7	Synpcc7942_1192	Synpcc7942_1192
Q31NZ6	Synpcc7942_1193	Synpcc7942_1193
Q31NZ4	Synpcc7942_1195	Synpcc7942_1195
Q31NZ1	Synpcc7942_1198	Synpcc7942_1198
Q31NZ0	Synpcc7942_1199	Synpcc7942_1199
Q31NY1	Synpcc7942_1208	Synpcc7942_1208
Q31NW5	Synpcc7942_1224	Synpcc7942_1224
Q31NW2	Synpcc7942_1227	Synpcc7942_1227
Q31NU6	Synpcc7942_1243	Synpcc7942_1243
Q31NU5	Synpcc7942_1244	Synpcc7942_1244
Q31NU3	Synpcc7942_1246	Synpcc7942_1246
Q31NT9	Synpcc7942_1250	Synpcc7942_1250
Q31NT7	Synpcc7942_1252	Synpcc7942_1252
Q31NT6	Synpcc7942_1253	Synpcc7942_1253
Q31NT5	Synpcc7942_1254	Synpcc7942_1254
Q31NT4	Synpcc7942_1255	Synpcc7942_1255
Q31NT3	Synpcc7942_1256	Synpcc7942_1256
Q31NT0	Synpcc7942_1259	Synpcc7942_1259
Q31NS7	Synpcc7942_1262	Synpcc7942_1262
Q31NS6	Synpcc7942_1263	Synpcc7942_1263
Q31NS4	Synpcc7942_1265	Synpcc7942_1265
Q31NS3	Synpcc7942_1266	Synpcc7942_1266
Q31NS2	Synpcc7942_1267	Synpcc7942_1267
Q31NS1	Synpcc7942_1268	Synpcc7942_1268
Q31NR8	Synpcc7942_1271	Synpcc7942_1271
Q31NR7	Synpcc7942_1272	Synpcc7942_1272
Q31NR6	Synpcc7942_1273	Synpcc7942_1273
Q31NR5	Synpcc7942_1274	Synpcc7942_1274
Q31NR3	Synpcc7942_1276	Synpcc7942_1276
Q31NQ8	Synpcc7942_1281	Synpcc7942_1281
Q31NQ1	Synpcc7942_1288	Synpcc7942_1288
Q31NQ0	Synpcc7942_1289	Synpcc7942_1289
Q31NP5	Synpcc7942_1294	Synpcc7942_1294
Q31NP4	Synpcc7942_1295	Synpcc7942_1295
Q31NP3	Synpcc7942_1296	Synpcc7942_1296
Q31NP2	Synpcc7942_1297	Synpcc7942_1297
Q31NP1	Synpcc7942_1298	Synpcc7942_1298
Q31NN7	Synpcc7942_1302	Synpcc7942_1302
Q31NN6	Synpcc7942_1303	Synpcc7942_1303
Q31NN5	Synpcc7942_1304	Synpcc7942_1304
Q31NN4	Synpcc7942_1305	Synpcc7942_1305
Q31NN3	Synpcc7942_1306	Synpcc7942_1306
Q31NN1	Synpcc7942_1308	Synpcc7942_1308
Q9F1R3	Synpcc7942_1309	Synpcc7942_1309
Q31NM7	Synpcc7942_1312	Synpcc7942_1312
Q31NL9	Synpcc7942_1320	Synpcc7942_1320
