Entry	Entry.Name	Gene.Names	Cross-reference	Gene.Names2	Gene.Names3
A0A1Y5I924	A0A1Y5I924_OSTTA	BE221DRAFT_199233	KZ155785;		
A0A090M2V3	A0A090M2V3_OSTTA	OT_ostta01g05400	CAID01000001;		
A0A1Y5IHW8	A0A1Y5IHW8_OSTTA	BE221DRAFT_70815	KZ155777;		
A0A454XMU4	A0A454XMU4_OSTTA	BE221DRAFT_188432	KZ155771;		
Q018W2	Q018W2_OSTTA	OT_ostta05g02950	CAID01000005;		
Q00WG8	Q00WG8_OSTTA	OT_ostta14g00350	CAID01000014;		
A0A1Y5I7K6	A0A1Y5I7K6_OSTTA	BE221DRAFT_193156	KZ155790;		
A0A1Y5I1X9	A0A1Y5I1X9_OSTTA	BE221DRAFT_103838	KZ155838;		
A0A090MAP4	A0A090MAP4_OSTTA	OT_ostta09g03730	CAID01000009;		
A0A090M7R8	A0A090M7R8_OSTTA	OT_ostta07g02640	CAID01000007;		
A0A1Y5I9P4	A0A1Y5I9P4_OSTTA	BE221DRAFT_192161	KZ155784;		
A0A090M1Q8	A0A090M1Q8_OSTTA	OT_ostta05g04870	CAID01000005;		
Q00XX1	Q00XX1_OSTTA	OT_ostta12g01890	CAID01000012;		
A0A1Y5I775	A0A1Y5I775_OSTTA	BE221DRAFT_78606	KZ155826;		
A0A1Y5I4F7	A0A1Y5I4F7_OSTTA	BE221DRAFT_196362	KZ155839;		
A0A1Y5HXA7	A0A1Y5HXA7_OSTTA	BE221DRAFT_201930	KZ155839;		
A0A1Y5I405	A0A1Y5I405_OSTTA	BE221DRAFT_78227	KZ155825;		
A0A1Y5HZY7	A0A1Y5HZY7_OSTTA	BE221DRAFT_142491	KZ155838;		
A0A1Y5I9A3	A0A1Y5I9A3_OSTTA	BE221DRAFT_192767	KZ155785;		
A0A1Y5IK42	A0A1Y5IK42_OSTTA	BE221DRAFT_189807	KZ155774;		
A0A1Y5IDZ5	A0A1Y5IDZ5_OSTTA	BE221DRAFT_199607	KZ155791;		
A0A096PBV9	A0A096PBV9_OSTTA	OT_ostta14g02160	CAID01000014;		
Q015I5	Q015I5_OSTTA	OT_ostta07g01810	CAID01000007;		
A0A454XQR6	A0A454XQR6_OSTTA	BE221DRAFT_80802	KZ155832;		
A0A1Y5IE03	A0A1Y5IE03_OSTTA	BE221DRAFT_77407	KZ155791;		
A0A1Y5I8F2	A0A1Y5I8F2_OSTTA	BE221DRAFT_206294	KZ155786;		
A0A096PBM3	A0A096PBM3_OSTTA	OT_ostta14g00640	CAID01000014;		
A0A1Y5IC62	A0A1Y5IC62_OSTTA	BE221DRAFT_148464	KZ155804;		
A0A1Y5I280	A0A1Y5I280_OSTTA	BE221DRAFT_200200	KZ155831;		
A0A1Y5II32	A0A1Y5II32_OSTTA	BE221DRAFT_190153	KZ155776;		
A0A090M7N9	A0A090M7N9_OSTTA	OT_ostta05g04360	CAID01000005;		
A0A1Y5II27	A0A1Y5II27_OSTTA	BE221DRAFT_197705	KZ155776;		
A0A090N4R0	A0A090N4R0_OSTTA	OT_ostta02g03790	CAID01000002;		
A0A1Y5IDU2	A0A1Y5IDU2_OSTTA	BE221DRAFT_72509	KZ155780;		
A0A1Y5IFI8	A0A1Y5IFI8_OSTTA	BE221DRAFT_68263	KZ155774;		
A0A1Y5IBT1	A0A1Y5IBT1_OSTTA	BE221DRAFT_201157	KZ155811;		
A0A1Y5IBG1	A0A1Y5IBG1_OSTTA	BE221DRAFT_78082	KZ155825;		
A0A454XY08	A0A454XY08_OSTTA	BE221DRAFT_110088	KZ155776;		
A0A096PB47	A0A096PB47_OSTTA	OT_ostta19g00230	CAID01000019;		
A0A096P9G6	A0A096P9G6_OSTTA	OT_ostta18g00080	CAID01000018;		
A0A1Y5I8G8	A0A1Y5I8G8_OSTTA	BE221DRAFT_76053	KZ155785;		
A0A454XNN5	A0A454XNN5_OSTTA	BE221DRAFT_111450	KZ155778;		
A0A1Y5IK09	A0A1Y5IK09_OSTTA	BE221DRAFT_189773	KZ155774;		
A0A454XUF1	A0A454XUF1_OSTTA	BE221DRAFT_194795	KZ155832;		
A0A090M5Y0	A0A090M5Y0_OSTTA	OT_ostta11g01940	CAID01000011;		
A0A090M5N2	A0A090M5N2_OSTTA	OT_ostta04g00050	CAID01000004;		
A0A1Y5IND3	A0A1Y5IND3_OSTTA	BE221DRAFT_143628	KZ155771;		
A0A090M3N5	A0A090M3N5_OSTTA	OT_ostta01g02310	CAID01000001;		
A0A090N3C2	A0A090N3C2_OSTTA	OT_ostta05g00880	CAID01000005;		
A0A1Y5IHG0	A0A1Y5IHG0_OSTTA	BE221DRAFT_191195	KZ155778;		
A0A1Y5ICL4	A0A1Y5ICL4_OSTTA	BE221DRAFT_192364	KZ155784;		
A0A096P7X9	A0A096P7X9_OSTTA	OT_ostta13g01640	CAID01000013;		
A0A090M0Q2	A0A090M0Q2_OSTTA	OT_ostta05g00250	CAID01000005;		
A0A1Y5IB15	A0A1Y5IB15_OSTTA	BE221DRAFT_73397	KZ155780;		
A0A1Y5I0S9	A0A1Y5I0S9_OSTTA	BE221DRAFT_164745	KZ155840;		
A0A090M7C8	A0A090M7C8_OSTTA	OT_ostta07g00680	CAID01000007;		
A0A1Y5IEV8	A0A1Y5IEV8_OSTTA	BE221DRAFT_50378	KZ155781;		
A0A1Y5IDH2	A0A1Y5IDH2_OSTTA	BE221DRAFT_110700	KZ155777;		
A0A1Y5IAT2	A0A1Y5IAT2_OSTTA	BE221DRAFT_192069	KZ155783;		
A0A1Y5HWK4	A0A1Y5HWK4_OSTTA	BE221DRAFT_65038	KZ155840;		
A0A096PA24	A0A096PA24_OSTTA	OT_ostta02g04840	CAID01000002;		
A0A1Y5I9R8	A0A1Y5I9R8_OSTTA	BE221DRAFT_192314	KZ155784;		
A0A090M1T8	A0A090M1T8_OSTTA	OT_ostta06g00190	CAID01000006;		
A0A090M5C9	A0A090M5C9_OSTTA	OT_ostta10g01890	CAID01000010;		
A0A096PA77	A0A096PA77_OSTTA	OT_ostta20g00830	CAID01000020;		
Q01FG1	Q01FG1_OSTTA	OT_ostta01g06320	CAID01000001;		
A0A1Y5I9T9	A0A1Y5I9T9_OSTTA	BE221DRAFT_79424	KZ155826;		
A0A090N3L8	A0A090N3L8_OSTTA	OT_ostta06g02090	CAID01000006;		
A0A454Y5A8	A0A454Y5A8_OSTTA	BE221DRAFT_61906	KZ155838;		
A0A454XRA9	A0A454XRA9_OSTTA	BE221DRAFT_78206	KZ155825;		
Q00WL8	Q00WL8_OSTTA	OT_ostta13g03010	CAID01000013;		
A0A096PA47	A0A096PA47_OSTTA	OT_ostta20g00450	CAID01000020;		
U3NDH8	U3NDH8_OSTTA	orf1260 OtCpg00170	KF285522;		orf1260
A0A1Y5I465	A0A1Y5I465_OSTTA	BE221DRAFT_81323	KZ155835;		
A0A096PAM4	A0A096PAM4_OSTTA	OT_ostta15g00130	CAID01000015;		
A0A090M4Q9	A0A090M4Q9_OSTTA	OT_ostta04g03720	CAID01000004;		
A0A090MAA2	A0A090MAA2_OSTTA	OT_ostta09g01850	CAID01000009;		
A0A1Y5HY43	A0A1Y5HY43_OSTTA	BE221DRAFT_187971	KZ155839;		
A0A096P7V3	A0A096P7V3_OSTTA	OT_ostta03g01570	CAID01000003;		
A0A1Y5IES3	A0A1Y5IES3_OSTTA	BE221DRAFT_190442	KZ155776;		
A0A090LYP0	A0A090LYP0_OSTTA	OT_ostta03g02800	CAID01000003;		
A0A096P7H4	A0A096P7H4_OSTTA	OT_ostta13g01850	CAID01000013;		
A0A1Y5I996	A0A1Y5I996_OSTTA	BE221DRAFT_148716	KZ155801;		
A0A090M6I5	A0A090M6I5_OSTTA	OT_ostta12g01470	CAID01000012;		
A0A090MEU5	A0A090MEU5_OSTTA	MED10 OT_ostta08g02580	CAID01000008;		MED10
Q015S1	Q015S1_OSTTA	OT_ostta07g00930	CAID01000007;		
A0A090LXS7	A0A090LXS7_OSTTA	OT_ostta01g02040	CAID01000001;		
A0A090N3N4	A0A090N3N4_OSTTA	OT_ostta06g03100	CAID01000006;		
A0A090LYI0	A0A090LYI0_OSTTA	OT_ostta03g02070	CAID01000003;		
Q01CQ0	Q01CQ0_OSTTA	OT_ostta03g02520	CAID01000003;		
A0A1Y5IJA5	A0A1Y5IJA5_OSTTA	BE221DRAFT_202925	KZ155771;		
A0A090M342	A0A090M342_OSTTA	OT_ostta07g01590	CAID01000007;		
A0A1Y5I6Z0	A0A1Y5I6Z0_OSTTA	BE221DRAFT_206755	KZ155791;		
A0A090MAA5	A0A090MAA5_OSTTA	OT_ostta11g02060	CAID01000011;		
A0A1Y5I4G6	A0A1Y5I4G6_OSTTA	BE221DRAFT_64002	KZ155839;		
A0A1Y5IEW3	A0A1Y5IEW3_OSTTA	BE221DRAFT_20528	KZ155776;		
A0A1Y5IH37	A0A1Y5IH37_OSTTA	OT_ostta09g02350	CAID01000009;		
A0A1Y5I535	A0A1Y5I535_OSTTA	BE221DRAFT_194741	KZ155832;		
Q00SU5	Q00SU5_OSTTA	OT_ostta18g00610	CAID01000018;		
A0A090M3Y3	A0A090M3Y3_OSTTA	OT_ostta09g00560	CAID01000009;		
A0A1Y5IJG2	A0A1Y5IJG2_OSTTA	BE221DRAFT_65236	KZ155771;		
A0A454XUK1	A0A454XUK1_OSTTA	BE221DRAFT_194650	KZ155832;		
A0A090M054	A0A090M054_OSTTA	OT_ostta04g03430	CAID01000004;		
A0A090N392	A0A090N392_OSTTA	OT_ostta04g04490	CAID01000004;		
A0A1Y5IF96	A0A1Y5IF96_OSTTA	BE221DRAFT_190548	KZ155776;		
A0A090N3R5	A0A090N3R5_OSTTA	OT_ostta07g00480	CAID01000007;		
Q01D47	Q01D47_OSTTA	OT_ostta03g01050	CAID01000003;		
A0A096PAJ4	A0A096PAJ4_OSTTA	OT_ostta14g00340	CAID01000014;		
A0A090M818	A0A090M818_OSTTA	OT_ostta07g03950	CAID01000007;		
A0A1Y5ILJ3	A0A1Y5ILJ3_OSTTA	BE221DRAFT_189375	KZ155772;		
Q016N5	Q016N5_OSTTA	OT_ostta06g03420	CAID01000006;		
Q01H57	Q01H57_OSTTA	OT_ostta01g00240	CAID01000001;		
Q01A04	Q01A04_OSTTA	OT_ostta05g00170	CAID01000005;		
A0A090N4L3	A0A090N4L3_OSTTA	OT_ostta02g00230	CAID01000002;		
Q00VP8	Q00VP8_OSTTA	OT_ostta14g02760	CAID01000014;		
A0A1Y5IIH4	A0A1Y5IIH4_OSTTA	BE221DRAFT_69645	KZ155776;		
A0A096P7W1	A0A096P7W1_OSTTA	OT_ostta16g01070	CAID01000016;		
A0A090M670	A0A090M670_OSTTA	OT_ostta05g04885	CAID01000005;		
Q018Z4	Q018Z4_OSTTA	OT_ostta05g02650	CAID01000005;		
A0A090N2V3	A0A090N2V3_OSTTA	OT_ostta01g05930	CAID01000001;		
A0A1Y5HZI5	A0A1Y5HZI5_OSTTA	BE221DRAFT_187336	KZ155838;		
A0A1Y5I2R9	A0A1Y5I2R9_OSTTA	BE221DRAFT_195051	KZ155835;		
A0A090M6C4	A0A090M6C4_OSTTA	OT_ostta06g00650	CAID01000006;		
A0A090LZW6	A0A090LZW6_OSTTA	OT_ostta04g02220	CAID01000004;		
A0A454Y708	A0A454Y708_OSTTA	BE221DRAFT_189196	KZ155772;		
A0A096P8B3	A0A096P8B3_OSTTA	OT_ostta13g01950	CAID01000013;		
A0A1Y5IAT7	A0A1Y5IAT7_OSTTA	BE221DRAFT_76467	KZ155786;		
Q00XW8	Q00XW8_OSTTA	OT_ostta12g01940	CAID01000012;		
A0A1Y5IJC6	A0A1Y5IJC6_OSTTA	BE221DRAFT_66242	KZ155771;		
A0A1Y5I490	A0A1Y5I490_OSTTA	BE221DRAFT_80440	KZ155832;		
A0A1Y5I095	A0A1Y5I095_OSTTA	BE221DRAFT_194989	KZ155835;		
A0A096P9D1	A0A096P9D1_OSTTA	OT_ostta17g01320	CAID01000017;		
A0A090N2M9	A0A090N2M9_OSTTA	OT_ostta01g00770	CAID01000001;		
A0A454XRC8	A0A454XRC8_OSTTA	BE221DRAFT_194329	KZ155826;		
A0A090ME22	A0A090ME22_OSTTA	OT_ostta02g03955	CAID01000002;		
Q00Z86	Q00Z86_OSTTA	OT_ostta11g00650	CAID01000011;		
A0A090N3K4	A0A090N3K4_OSTTA	OT_ostta06g01170	CAID01000006;		
A0A1Y5I871	A0A1Y5I871_OSTTA	BE221DRAFT_12681	KZ155786;		
A0A1Y5I3W2	A0A1Y5I3W2_OSTTA	BE221DRAFT_193621	KZ155825;		
A0A1Y5IAS0	A0A1Y5IAS0_OSTTA	BE221DRAFT_78150	KZ155825;		
A0A1Y5I993	A0A1Y5I993_OSTTA	BE221DRAFT_82367	KZ155809;		
A0A1Y5HYI4	A0A1Y5HYI4_OSTTA	BE221DRAFT_164128	KZ155839;		
A0A1Y5I8F7	A0A1Y5I8F7_OSTTA	BE221DRAFT_207911	KZ155832;		
A0A1Y5IBV8	A0A1Y5IBV8_OSTTA	BE221DRAFT_191611	KZ155780;		
Q01GR6	Q01GR6_OSTTA	OT_ostta01g01710	CAID01000001;		
A0A1Y5I738	A0A1Y5I738_OSTTA	BE221DRAFT_192961	KZ155790;		
A0A090M4S3	A0A090M4S3_OSTTA	OT_ostta09g04420	CAID01000009;		
A0A1Y5HZL8	A0A1Y5HZL8_OSTTA	BE221DRAFT_187451	KZ155838;		
Q01D21	Q01D21_OSTTA	OT_ostta03g01370	CAID01000003;		
A0A1Y5I0Z6	A0A1Y5I0Z6_OSTTA	BE221DRAFT_64866	KZ155840;		
A0A1Y5IM87	A0A1Y5IM87_OSTTA	BE221DRAFT_110274	KZ155776;		
A0A090MAY2	A0A090MAY2_OSTTA	OT_ostta10g00450	CAID01000010;		
A0A1Y5HZI7	A0A1Y5HZI7_OSTTA	BE221DRAFT_187434	KZ155838;		
A0A1Y5HWV4	A0A1Y5HWV4_OSTTA	BE221DRAFT_65078	KZ155840;		
A0A1Y5IEG7	A0A1Y5IEG7_OSTTA	BE221DRAFT_10431	KZ155783;		
A0A1Y5ILL8	A0A1Y5ILL8_OSTTA	BE221DRAFT_197803	KZ155776;		
A0A1Y5IMM7	A0A1Y5IMM7_OSTTA	BE221DRAFT_197951	KZ155776;		
A0A096PBF6	A0A096PBF6_OSTTA	OT_ostta14g00700	CAID01000014;		
A0A1Y5I2I6	A0A1Y5I2I6_OSTTA	BE221DRAFT_187057	KZ155838;		
A0A454XIJ5	A0A454XIJ5_OSTTA	BE221DRAFT_187436	KZ155838;		
A0A1Y5I320	A0A1Y5I320_OSTTA	BE221DRAFT_48016	KZ155826;		
A0A454XWT6	A0A454XWT6_OSTTA	BE221DRAFT_202638	KZ155771;		
Q00YS6	Q00YS6_OSTTA	OT_ostta11g02100	CAID01000011;		
A0A454Y2C3	A0A454Y2C3_OSTTA	BE221DRAFT_79551	KZ155826;		
A0A454XV91	A0A454XV91_OSTTA	BE221DRAFT_62131	KZ155838;		
A0A454XI97	A0A454XI97_OSTTA	BE221DRAFT_10351	KZ155783;		
A0A1Y5IPB6	A0A1Y5IPB6_OSTTA	BE221DRAFT_67329	KZ155772;		
A0A1Y5I9N2	A0A1Y5I9N2_OSTTA	BE221DRAFT_168318	KZ155784;		
A0A1Y5HXT3	A0A1Y5HXT3_OSTTA	BE221DRAFT_202020	KZ155839;		
A0A090M446	A0A090M446_OSTTA	OT_ostta04g00630	CAID01000004;		
A0A1Y5I0W3	A0A1Y5I0W3_OSTTA	BE221DRAFT_64738	KZ155840;		
A0A1Y5I7B6	A0A1Y5I7B6_OSTTA	BE221DRAFT_194294	KZ155826;		
A0A1Y5IJG0	A0A1Y5IJG0_OSTTA	BE221DRAFT_49831	KZ155771;		
A0A454XMY2	A0A454XMY2_OSTTA	BE221DRAFT_75680	KZ155785;		
A0A454XKT3	A0A454XKT3_OSTTA	BE221DRAFT_76349	KZ155786;		
A0A1Y5I0I8	A0A1Y5I0I8_OSTTA	BE221DRAFT_81787	KZ155835;		
A0A1Y5IFL9	A0A1Y5IFL9_OSTTA	BE221DRAFT_189642	KZ155774;		
A0A1Y5I4U4	A0A1Y5I4U4_OSTTA	BE221DRAFT_195140	KZ155835;		
A0A1Y5I4P3	A0A1Y5I4P3_OSTTA	BE221DRAFT_81132	KZ155832;		
A0A454XTN7	A0A454XTN7_OSTTA	BE221DRAFT_62398	KZ155838;		
A0A090N3W8	A0A090N3W8_OSTTA	OT_ostta07g03960	CAID01000007;		
Q00SQ5	Q00SQ5_OSTTA	OT_ostta18g01000	CAID01000018;		
Q018B8	Q018B8_OSTTA	OT_ostta05g04860	CAID01000005;		
A0A090M4U9	A0A090M4U9_OSTTA	OT_ostta04g04300	CAID01000004;		
A0A1Y5IFA3	A0A1Y5IFA3_OSTTA	BE221DRAFT_189511	KZ155774;		
A0A096P7Q2	A0A096P7Q2_OSTTA	OT_ostta03g01410	CAID01000003;		
A0A1Y5I9K9	A0A1Y5I9K9_OSTTA	BE221DRAFT_148465	KZ155804;		
A0A1Y5IHM1	A0A1Y5IHM1_OSTTA	BE221DRAFT_69975	KZ155776;		
Q00VZ8	Q00VZ8_OSTTA	OT_ostta14g01800	CAID01000014;		
A0A1Y5I7K0	A0A1Y5I7K0_OSTTA	BE221DRAFT_193631	KZ155825;		
A0A1Y5IDD7	A0A1Y5IDD7_OSTTA	BE221DRAFT_193363	KZ155791;		
A0A1Y5IDR1	A0A1Y5IDR1_OSTTA	BE221DRAFT_192949	KZ155790;		
A0A1Y5HWQ6	A0A1Y5HWQ6_OSTTA	BE221DRAFT_143050	KZ155840;		
A0A1Y5IHF0	A0A1Y5IHF0_OSTTA	BE221DRAFT_168094	KZ155783;		
Q01FS2	Q01FS2_OSTTA	OT_ostta01g05190	CAID01000001;		
A0A454XK13	A0A454XK13_OSTTA	BE221DRAFT_8404	KZ155780;		
A0A454XT13	A0A454XT13_OSTTA	BE221DRAFT_66854	KZ155771;		
A0A1Y5IMP0	A0A1Y5IMP0_OSTTA	BE221DRAFT_66460	KZ155771;		
A0A1Y5IAN5	A0A1Y5IAN5_OSTTA	BE221DRAFT_12471	KZ155786;		
A0A454XII8	A0A454XII8_OSTTA	BE221DRAFT_194740	KZ155832;		
A0A1Y5IJ89	A0A1Y5IJ89_OSTTA	BE221DRAFT_65738	KZ155771;		
A0A1Y5IFC0	A0A1Y5IFC0_OSTTA	BE221DRAFT_72642	KZ155780;		
A0A090M8C7	A0A090M8C7_OSTTA	OT_ostta09g00810	CAID01000009;		
A0A090M4I4	A0A090M4I4_OSTTA	OT_ostta04g02580	CAID01000004;		
A0A1Y5I1R4	A0A1Y5I1R4_OSTTA	BE221DRAFT_80679	KZ155832;		
A0A090N2X7	A0A090N2X7_OSTTA	OT_ostta03g02825	CAID01000003;		
A0A096PAJ6	A0A096PAJ6_OSTTA	OT_ostta14g00400	CAID01000014;		
A0A090M6U4	A0A090M6U4_OSTTA	OT_ostta05g00580	CAID01000005;		
A0A090M2N6	A0A090M2N6_OSTTA	OT_ostta01g04400	CAID01000001;		
A0A1Y5I3E6	A0A1Y5I3E6_OSTTA	BE221DRAFT_200049	KZ155826;		
A0A454Y0W1	A0A454Y0W1_OSTTA	BE221DRAFT_144330	KZ155774;		
A0A090M2B3	A0A090M2B3_OSTTA	OT_ostta06g02070	CAID01000006;		
A0A1Y5I5D9	A0A1Y5I5D9_OSTTA	BE221DRAFT_194860	KZ155832;		
A0A090LZS7	A0A090LZS7_OSTTA	OT_ostta04g01680	CAID01000004;		
A0A1Y5II63	A0A1Y5II63_OSTTA	BE221DRAFT_87152	KZ155771;		
A0A454XJQ9	A0A454XJQ9_OSTTA	BE221DRAFT_23748	KZ155827;		
A0A1Y5I6A2	A0A1Y5I6A2_OSTTA	BE221DRAFT_193250	KZ155791;		
Q016G7	Q016G7_OSTTA	OT_ostta06g04080	CAID01000006;		
A0A1Y5I268	A0A1Y5I268_OSTTA	BE221DRAFT_194501	KZ155831;		
A0A090M6H2	A0A090M6H2_OSTTA	OT_ostta12g00620	CAID01000012;		
A0A098E5M5	A0A098E5M5_OSTTA	OT_ostta17g01895	CAID01000017;		
A0A096P9Y9	A0A096P9Y9_OSTTA	OT_ostta15g01370	CAID01000015;		
A0A454XPG1	A0A454XPG1_OSTTA	BE221DRAFT_72656	KZ155780;		
A0A1Y5I2N7	A0A1Y5I2N7_OSTTA	BE221DRAFT_187112	KZ155838;		
A0A090M7U3	A0A090M7U3_OSTTA	OT_ostta02g03280	CAID01000002;		
A0A1Y5I314	A0A1Y5I314_OSTTA	BE221DRAFT_61264	KZ155838;		
A0A090M213	A0A090M213_OSTTA	OT_ostta01g01560	CAID01000001;		
A0A454Y583	A0A454Y583_OSTTA	BE221DRAFT_195719	KZ155789;		
A0A1Y5I5H9	A0A1Y5I5H9_OSTTA	BE221DRAFT_194079	KZ155826;		
A0A090M867	A0A090M867_OSTTA	OT_ostta07g04680	CAID01000007;		
A0A1Y5HZJ5	A0A1Y5HZJ5_OSTTA	BE221DRAFT_142376	KZ155838;		
A0A090M7V9	A0A090M7V9_OSTTA	OT_ostta02g03810	CAID01000002;		
A0A090M6X2	A0A090M6X2_OSTTA	OT_ostta05g00810	CAID01000005;		
A0A090N312	A0A090N312_OSTTA	OT_ostta03g05060	CAID01000003;		
A0A090M7M6	A0A090M7M6_OSTTA	OT_ostta02g02990	CAID01000002;		
A0A096P8Z5	A0A096P8Z5_OSTTA	OT_ostta17g00400	CAID01000017;		
A0A1Y5ICB0	A0A1Y5ICB0_OSTTA	BE221DRAFT_83920	KZ155801;		
A0A096P8J7	A0A096P8J7_OSTTA	OT_ostta16g00630	CAID01000016;		
A0A1Y5ICI8	A0A1Y5ICI8_OSTTA	BE221DRAFT_190740	KZ155778;		
A0A1Y5I8B2	A0A1Y5I8B2_OSTTA	BE221DRAFT_147641	KZ155832;		
A0A1Y5IBZ1	A0A1Y5IBZ1_OSTTA	BE221DRAFT_145507	KZ155780;		
A0A1Y5IA88	A0A1Y5IA88_OSTTA	BE221DRAFT_47918	KZ155789;		
A0A1Y5IKY8	A0A1Y5IKY8_OSTTA	BE221DRAFT_67103	KZ155772;		
A0A090LYC0	A0A090LYC0_OSTTA	OT_ostta01g06050	CAID01000001;		
A0A090M1T7	A0A090M1T7_OSTTA	OT_ostta05g04650	CAID01000005;		
A0A096P9V8	A0A096P9V8_OSTTA	OT_ostta20g00190	CAID01000020;		
A0A1Y5IKI9	A0A1Y5IKI9_OSTTA	BE221DRAFT_71807	KZ155778;		
A0A1Y5IG83	A0A1Y5IG83_OSTTA	BE221DRAFT_68443	KZ155774;		
A0A090M4G7	A0A090M4G7_OSTTA	OT_ostta09g03130	CAID01000009;		
Q010V0	Q010V0_OSTTA	OT_ostta09g04260	CAID01000009;		
Q01DA7	Q01DA7_OSTTA	OT_ostta03g00450	CAID01000003;		
A0A096PAY7	A0A096PAY7_OSTTA	OT_ostta14g02680	CAID01000014;		
A0A096P7G9	A0A096P7G9_OSTTA	OT_ostta13g02050	CAID01000013;		
A0A1Y5IBG6	A0A1Y5IBG6_OSTTA	BE221DRAFT_72923	KZ155780;		
A0A090MB17	A0A090MB17_OSTTA	OT_ostta12g02260	CAID01000012;		
A0A1Y5HWQ0	A0A1Y5HWQ0_OSTTA	BE221DRAFT_143052	KZ155840;		
Q00TD2	Q00TD2_OSTTA	OT_ostta17g01450	CAID01000017;		
A0A1Y5HX26	A0A1Y5HX26_OSTTA	BE221DRAFT_196286	KZ155839;		
A0A1Y5I037	A0A1Y5I037_OSTTA	BE221DRAFT_187670	KZ155838;		
A0A1Y5IGE2	A0A1Y5IGE2_OSTTA	BE221DRAFT_172414	KZ155774;		
A0A1Y5IIV5	A0A1Y5IIV5_OSTTA	BE221DRAFT_65715	KZ155771;		
Q00YG7	Q00YG7_OSTTA	OT_ostta11g03170	CAID01000011;		
A0A090M0W8	A0A090M0W8_OSTTA	OT_ostta05g00410	CAID01000005;		
A0A096P7X2	A0A096P7X2_OSTTA	OT_ostta16g00550	CAID01000016;		
Q00ZF5	Q00ZF5_OSTTA	OT_ostta10g03560	CAID01000010;		
A0A096P852	A0A096P852_OSTTA	OT_ostta13g01350	CAID01000013;		
A0A1Y5I4C0	A0A1Y5I4C0_OSTTA	BE221DRAFT_79973	KZ155831;		
A0A096P7T9	A0A096P7T9_OSTTA	OT_ostta16g00545	CAID01000016;		
A0A090N4N2	A0A090N4N2_OSTTA	OT_ostta02g01920	CAID01000002;		
A0A096P7I6	A0A096P7I6_OSTTA	OT_ostta03g01020	CAID01000003;		
A0A090M884	A0A090M884_OSTTA	OT_ostta08g00140	CAID01000008;		
A0A454Y332	A0A454Y332_OSTTA	BE221DRAFT_80429	KZ155832;		
Q01EZ3	Q01EZ3_OSTTA	OT_ostta02g00920	CAID01000002;		
A0A1Y5I4T8	A0A1Y5I4T8_OSTTA	BE221DRAFT_83602	KZ155816;		
A0A1Y5IAU8	A0A1Y5IAU8_OSTTA	BE221DRAFT_77644	KZ155791;		
A0A1Y5ICU4	A0A1Y5ICU4_OSTTA	BE221DRAFT_7357	KZ155778;		
A0A1Y5I4L0	A0A1Y5I4L0_OSTTA	BE221DRAFT_200842	KZ155820;		
A0A454XQA5	A0A454XQA5_OSTTA	BE221DRAFT_190224	KZ155776;		
A0A090M472	A0A090M472_OSTTA	OT_ostta04g01040	CAID01000004;		
Q012W7	Q012W7_OSTTA	OT_ostta08g03360	CAID01000008;		
A0A090N350	A0A090N350_OSTTA	OT_ostta04g01470	CAID01000004;		
A0A1Y5HYM2	A0A1Y5HYM2_OSTTA	BE221DRAFT_162031	KZ155838;		
A0A090N2Z4	A0A090N2Z4_OSTTA	OT_ostta03g03860	CAID01000003;		
A0A1Y5IAF7	A0A1Y5IAF7_OSTTA	BE221DRAFT_192065	KZ155783;		
A0A096PB03	A0A096PB03_OSTTA	OT_ostta14g02260	CAID01000014;		
A0A1Y5I0Y9	A0A1Y5I0Y9_OSTTA	BE221DRAFT_142046	KZ155838;		
A0A1Y5I1X7	A0A1Y5I1X7_OSTTA	BE221DRAFT_202033	KZ155839;		
A0A096P9H7	A0A096P9H7_OSTTA	OT_ostta18g00240	CAID01000018;		
Q018P5	Q018P5_OSTTA	OT_ostta05g03660	CAID01000005;		
A0A090MA17	A0A090MA17_OSTTA	OT_ostta11g00960	CAID01000011;		
A0A1Y5I1X4	A0A1Y5I1X4_OSTTA	BE221DRAFT_187955	KZ155839;		
A0A1Y5IK96	A0A1Y5IK96_OSTTA	BE221DRAFT_65420	KZ155771;		
A0A090M4X8	A0A090M4X8_OSTTA	OT_ostta03g03380	CAID01000003;		
A0A090M8C3	A0A090M8C3_OSTTA	OT_ostta08g01280	CAID01000008;		
A0A1Y5I9C8	A0A1Y5I9C8_OSTTA	BE221DRAFT_192154	KZ155784;		
A0A1Y5I4C6	A0A1Y5I4C6_OSTTA	BE221DRAFT_64232	KZ155839;		
A0A1Y5I402	A0A1Y5I402_OSTTA	BE221DRAFT_206903	KZ155825;		
A0A454XS31	A0A454XS31_OSTTA	BE221DRAFT_78320	KZ155825;		
A0A090M8H8	A0A090M8H8_OSTTA	OT_ostta09g01570	CAID01000009;		
A0A1Y5I865	A0A1Y5I865_OSTTA	BE221DRAFT_55463	KZ155832;		
A0A1Y5IAB2	A0A1Y5IAB2_OSTTA	BE221DRAFT_195366	KZ155793;		
A0A454XJ82	A0A454XJ82_OSTTA	BE221DRAFT_202324	KZ155771;		
A0A090MCT3	A0A090MCT3_OSTTA	OT_ostta08g02660	CAID01000008;		
A0A096P8M0	A0A096P8M0_OSTTA	OT_ostta16g01640	CAID01000016;		
A0A1Y5IBX6	A0A1Y5IBX6_OSTTA	BE221DRAFT_148607	KZ155808;		
