Entry	Entry.Name	Gene.Names	Cross-reference	Gene.Names2	Gene.Names3
A0A1Y5I0B2	A0A1Y5I0B2_OSTTA	BE221DRAFT_175863 BE221DRAFT_207975	KZ155835;KZ155834;		
Q0P3F9	Q0P3F9_OSTTA	OtMtg00320	KC967294;KC967295;KC967296;KC967297;KC967299;KC967300;KC967301;KC967302;KC967303;KC967304;KC967305;KC967306;CR954200;	OtMtg00320	
S5PY62	S5PY62_OSTTA	rpl36 OtCpg00050	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		rpl36
A0A1Y5IH63	A0A1Y5IH63_OSTTA	BE221DRAFT_107749 BE221DRAFT_107754	KZ155772;KZ155772;		
S5PY82	S5PY82_OSTTA	rps4 OtCpg00200	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		rps4
A0A1Y5IAA5	A0A1Y5IAA5_OSTTA	BE221DRAFT_79760 BE221DRAFT_82332	KZ155826;KZ155775;		
A0A1Y5IM09	A0A1Y5IM09_OSTTA	BE221DRAFT_188461 BE221DRAFT_189468	KZ155773;KZ155771;		
S5QF38	S5QF38_OSTTA	rpl2 OtCpg00330	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		rpl2
S5QF32	S5QF32_OSTTA	rpoC2 OtCpg00280	KC990831;KF285523;KF285524;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		rpoC2
Q0P3G2	Q0P3G2_OSTTA	OtMtg00290	KC967294;KC967295;KC967296;KC967297;KC967299;KC967300;KC967301;KC967303;KC967305;CR954200;	OtMtg00290	
A0A454XVC0	A0A454XVC0_OSTTA	BE221DRAFT_82601 BE221DRAFT_82868 BE221DRAFT_83221	KZ155823;KZ155821;KZ155820;		
S5PS70	S5PS70_OSTTA	rpoA OtCpg00420	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		rpoA
A0A1Y5IH54	A0A1Y5IH54_OSTTA	BE221DRAFT_157810 BE221DRAFT_157928	KZ155772;KZ155772;		
A0A096PAW1	A0A096PAW1_OSTTA	OT_ostta09g04440 OT_ostta14g01500	CAID01000009;CAID01000014;		
S5QBM3	S5QBM3_OSTTA	psaC OtCpg00110	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		psaC
A0A1Y5IF34	A0A1Y5IF34_OSTTA	BE221DRAFT_190582 BE221DRAFT_195448	KZ155794;KZ155776;		
S5QF02	S5QF02_OSTTA	clpP OtCpg00080	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		clpP
U3NF83	U3NF83_OSTTA	atpB OtCpg00100	KF285524;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		atpB
A0A1Y5HYQ7	A0A1Y5HYQ7_OSTTA	BE221DRAFT_187089 BE221DRAFT_195632	KZ155838;KZ155792;		
Q3B9U2	Q3B9U2_OSTTA	OT_ostta14g00065	AY954738;CAID01000014;		
A0A1Y5I820	A0A1Y5I820_OSTTA	BE221DRAFT_187880 BE221DRAFT_195507	KZ155839;KZ155798;		
S5PS65	S5PS65_OSTTA	rpl14 OtCpg00370	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		rpl14
A0A454XRS7	A0A454XRS7_OSTTA	BE221DRAFT_190580 BE221DRAFT_195446	KZ155794;KZ155776;		
Q5IFN1	Q5IFN1_OSTTA	OT_ostta05g00270	AY740085;CAID01000005;		
A0A454XKJ3	A0A454XKJ3_OSTTA	BE221DRAFT_82997 BE221DRAFT_83205	KZ155823;KZ155820;		
Q00UG0	Q00UG0_OSTTA	CBL01 OT_ostta16g00920	FJ901250;CAID01000016;		CBL01
S5LZ47	S5LZ47_OSTTA	OtMtg00350	KC967297;KC967301;		
A0A1Y5IGE9	A0A1Y5IGE9_OSTTA	BE221DRAFT_67884 BE221DRAFT_70886	KZ155777;KZ155772;		
A0A1Y5IL79	A0A1Y5IL79_OSTTA	BE221DRAFT_143948 BE221DRAFT_144842	KZ155777;KZ155772;		
A0A454XWV2	A0A454XWV2_OSTTA	BE221DRAFT_173517 BE221DRAFT_82929 BE221DRAFT_83212	KZ155823;KZ155821;KZ155820;		
S5PYA7	S5PYA7_OSTTA	atpH OtCpg00450	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		atpH
A0A1Y5IJ88	A0A1Y5IJ88_OSTTA	BE221DRAFT_78824 BE221DRAFT_82342	KZ155826;KZ155775;		
A0A1Y5IF57	A0A1Y5IF57_OSTTA	BE221DRAFT_144770 BE221DRAFT_82385	KZ155794;KZ155776;		
U3NC22	U3NC22_OSTTA	rpoC1 OtCpg00270	KF285523;KF285529;		rpoC1
A0A1Y5I2F0	A0A1Y5I2F0_OSTTA	BE221DRAFT_148231 BE221DRAFT_148613	KZ155829;KZ155828;		
Q0P3F6	Q0P3F6_OSTTA	OtMtg00350	KC967294;KC967295;KC967296;KC967298;KC967299;KC967300;KC967302;KC967303;KC967304;KC967305;KC967306;CR954200;	OtMtg00350	
Q5SCA8	Q5SCA8_OSTTA	CKS OT_ostta07g01870	AY675106;CAID01000007;		CKS
S5MLV5	S5MLV5_OSTTA	OtMtg00340	KC967294;KC967295;KC967296;KC967297;KC967299;KC967300;KC967301;KC967303;KC967305;		
A0A1Y5I7Z2	A0A1Y5I7Z2_OSTTA	BE221DRAFT_12990 BE221DRAFT_78587	KZ155825;KZ155787;		
A0A1Y5ILN3	A0A1Y5ILN3_OSTTA	BE221DRAFT_189425 BE221DRAFT_190676	KZ155777;KZ155772;		
Q0P3F8	Q0P3F8_OSTTA	OtMtg00330	KC967294;CR954200;	OtMtg00330	
Q0P3H3	Q0P3H3_OSTTA	OtMtg00180	KC967294;KC967295;KC967296;KC967297;KC967298;KC967299;KC967300;KC967301;KC967302;KC967303;KC967304;KC967305;KC967306;CR954200;	OtMtg00180	
S5PVR6	S5PVR6_OSTTA	rps19 OtCpg00340	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		rps19
S5PS85	S5PS85_OSTTA	psbI OtCpg00570	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		psbI
S5QBP8	S5QBP8_OSTTA	ycf9 psbZ OtCpg00310	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		ycf9
Q0P3J0	Q0P3J0_OSTTA	OtMtg00010	KC967294;KC967295;KC967296;KC967297;KC967298;KC967299;KC967300;KC967301;KC967302;KC967303;KC967304;KC967305;KC967306;CR954200;	OtMtg00010	
Q5SCB0	Q5SCB0_OSTTA	DEL OT_ostta08g02940	AY675104;CAID01000008;		DEL
